Date,Latitude,Longitude,city_confirmedCount,city_curedCount,city_deadCount,city_suspectedCount,cityEnglishName
05-04,52.3413513,124.5619384,3.0,3.0,0.0,0.0,Daxinganling
05-04,37.4486676,116.305416,37.0,35.0,2.0,0.0,Dezhou
05-04,39.9269012,116.4100395,14.0,1.0,0.0,0.0,Dongcheng District
05-04,23.0444712,113.7465512,100.0,99.0,1.0,0.0,Dongguan
05-04,39.7145318,115.86050079650428,16.0,3.0,0.0,0.0,Fangshan District
05-04,39.8571176,116.2804172,43.0,3.0,0.0,0.0,Fengtai District
05-04,30.9204487,121.4693834,9.0,9.0,0.0,0.0,Fengxian District
05-04,23.0247687,113.1146335,100.0,96.0,0.0,1.0,Foshan
05-04,23.1301964,113.2592945,504.0,498.0,1.0,4.0,Guangzhou
05-04,39.9580718,116.292405,64.0,0.0,0.0,0.0,Haidian District
05-04,35.47625189999999,110.4508029,1.0,1.0,0.0,0.0,Hancheng
05-04,33.069049,107.018889,26.0,26.0,0.0,0.0,Hanzhong
05-04,45.7656666,126.6160584,263.0,209.0,4.0,8.0,Harbin
05-04,47.3355856,130.28367179999998,5.0,5.0,0.0,0.0,Hegang
05-04,48.00000470000001,127.999992,14.0,14.0,0.0,0.0,Heihe
05-04,23.746777,114.6954482,5.0,5.0,0.0,0.0,Heyuan
05-04,35.2477266,115.4464761,18.0,18.0,0.0,0.0,Heze
05-04,40.8337963,111.6730788,7.0,7.0,0.0,0.0,Hohhot
05-04,31.266703000000003,121.501751,7.0,7.0,0.0,0.0,Hongkou District
05-04,40.64575865000001,116.624596525,7.0,0.0,0.0,0.0,Huairou District
05-04,31.2335925,121.479864,6.0,6.0,0.0,0.0,Huangpu District
05-04,29.831086100000004,118.3358441,62.0,62.0,0.0,0.0,Huizhou
